"problem","model","data_file"
"prize","data/prize/prize_orig.mzn","data/prize/20-4-5-5.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/45-5-9-9.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/45-5-9-8.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/20-4-5-4.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/28-4-7-8.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/24-4-6-8.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/20-4-5-6.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/20-4-5-7.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/24-4-6-9.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/28-4-7-9.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/25-5-5-9.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/20-4-5-3.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/30-5-6-8.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/30-5-6-9.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/20-4-5-2.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/25-5-5-8.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/21-3-7-9.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/20-4-5-0.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/18-3-6-8.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/18-3-6-9.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/20-4-5-1.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/21-3-7-8.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/9-3-3-0.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/40-5-8-5.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/35-5-7-2.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/35-5-7-3.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/40-5-8-4.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/9-3-3-1.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/9-3-3-3.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/12-3-4-8.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/40-5-8-6.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/35-5-7-1.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/35-5-7-0.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/40-5-8-7.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/12-3-4-9.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/9-3-3-2.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/9-3-3-6.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/15-3-5-9.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/16-4-4-9.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/40-5-8-3.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/35-5-7-4.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/35-5-7-5.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/40-5-8-2.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/16-4-4-8.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/15-3-5-8.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/9-3-3-7.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/9-3-3-5.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/32-4-8-9.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/40-5-8-0.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/35-5-7-7.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/35-5-7-6.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/40-5-8-1.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/32-4-8-8.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/9-3-3-4.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/9-3-3-9.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/32-4-8-5.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/15-3-5-6.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/12-3-4-2.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/16-4-4-6.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/16-4-4-7.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/12-3-4-3.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/15-3-5-7.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/32-4-8-4.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/9-3-3-8.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/32-4-8-6.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/15-3-5-5.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/16-4-4-5.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/12-3-4-1.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/35-5-7-8.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/35-5-7-9.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/12-3-4-0.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/16-4-4-4.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/15-3-5-4.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/32-4-8-7.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/15-3-5-0.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/32-4-8-3.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/16-4-4-0.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/12-3-4-4.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/12-3-4-5.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/16-4-4-1.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/32-4-8-2.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/15-3-5-1.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/15-3-5-3.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/32-4-8-0.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/12-3-4-7.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/16-4-4-3.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/40-5-8-9.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/40-5-8-8.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/16-4-4-2.dzn"
"prize","data/prize/prize_orig.mzn","data/prize/12-3-4-6.dzn"
