"problem","model","data_file"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-10-67-7.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-25-264-5.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-25-264-4.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-10-67-6.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-10-67-4.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-25-264-6.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-15-120-8.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-15-120-9.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-25-264-7.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-10-67-5.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-10-67-1.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-25-264-3.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-25-264-2.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-10-67-0.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-20-187-8.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-10-67-2.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-25-264-0.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-25-264-1.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-10-67-3.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-20-187-9.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-20-187-14.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-20-187-13.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-20-187-12.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-20-187-10.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-20-187-11.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-15-120-14.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/test.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-15-120-12.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-15-120-13.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-15-120-11.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-15-120-10.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-20-187-4.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-10-67-11.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-25-264-13.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-15-120-2.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-15-120-3.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-25-264-12.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-10-67-10.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-20-187-5.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-20-187-7.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-25-264-10.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-10-67-12.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-15-120-1.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-15-120-0.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-10-67-13.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-25-264-11.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-20-187-6.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-20-187-2.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-10-67-8.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-15-120-4.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-15-120-5.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-10-67-9.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-25-264-14.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-20-187-3.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-20-187-1.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-10-67-14.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-25-264-9.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-15-120-7.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-15-120-6.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-25-264-8.dzn"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-20-187-0.dzn"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-10-67-7.dzn"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-25-264-5.dzn"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-25-264-4.dzn"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-10-67-6.dzn"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-10-67-4.dzn"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-25-264-6.dzn"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-15-120-8.dzn"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-15-120-9.dzn"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-25-264-7.dzn"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-10-67-5.dzn"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-10-67-1.dzn"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-25-264-3.dzn"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-25-264-2.dzn"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-10-67-0.dzn"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-20-187-8.dzn"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-10-67-2.dzn"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-25-264-0.dzn"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-25-264-1.dzn"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-10-67-3.dzn"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-20-187-9.dzn"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-20-187-14.dzn"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-20-187-13.dzn"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-20-187-12.dzn"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-20-187-10.dzn"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-20-187-11.dzn"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-15-120-14.dzn"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/test.dzn"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-15-120-12.dzn"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-15-120-13.dzn"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-15-120-11.dzn"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-15-120-10.dzn"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-20-187-4.dzn"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-10-67-11.dzn"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-25-264-13.dzn"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-15-120-2.dzn"
