"configuration","problem","model","data_file","status","time","peakDepth","flatTime","failures","nodes","flatIntConstraints","eliminatedLinearConstraints","flatBoolVars","paths","run","nSolutions","propagations","solveTime","evaluatedHalfReifiedConstraints","variables","flatBoolConstraints","error","objectiveBound","propagators","restarts","openNodes","method","initTime","solutions","objective","flatIntVars","eliminatedImplications","evaluatedReifiedConstraints"
"Gurobi HR","radiation","data/mznc2020/radiation/radiation.mzn","data/mznc2020/radiation/i6-9.dzn","OPTIMAL_SOLUTION","0.19949251785874367","","0.10893","","1","669","","","0","mznc","1","","0.1645","","","","","338","","","","minimize","","","338","638","",""
"CPLEX","pentominoes","data/mznc2020/pentominoes/pentominoes-int.mzn","data/mznc2020/pentominoes/04.dzn","ERROR","","","","","","","","","","mznc","","","","","","","MiniZinc stopped with a non-zero exit code, but did not output an error message. ","","","","","","","","","","",""
"Gecode HR","is","data/mznc2020/is/model.mzn","data/mznc2020/is/LeTaZW8Ij5.dzn","SATISFIED","1200.357581883669","130","3.57867","24103926","48208119","4815","","3982","0","mznc","17","3678606288","1196.39","4027","4724","1321","","","4141","0","","minimize","0.132397","17","283904","658","211","177"
"Gurobi","is","data/mznc2020/is/model.mzn","data/mznc2020/is/A3PZaPjnUz.dzn","OPTIMAL_SOLUTION","2.8500766418874264","","2.07165","","1","2900","","646","0","mznc","1","","2.7058","","","","","103936","","","","minimize","","","103936","10552","","3276"
"Gecode","radiation","data/mznc2020/radiation/radiation.mzn","data/mznc2020/radiation/i6-9.dzn","OPTIMAL_SOLUTION","0.14851680770516396","13","0.048392","63","127","369","","","0","mznc","1","4863","0.011219","","488","","","","89","0","","minimize","0.003033","1","338","488","",""
"CBC HR","stochastic-vrp","data/mznc2019/stochastic-vrp/vrp-s3-v2-c7_vrp-v2-c7_det.mzn","","UNKNOWN","1201.1321258246899","","0.486183","","","3076","","336","0","mznc","","","","","","","","","","","","minimize","","","","1109","","1296"
"Gurobi HR","hoist-benchmark-for-minizinc","data/mznc2020/hoist-benchmark-for-minizinc/hoist-benchmark.mzn","data/mznc2020/hoist-benchmark-for-minizinc/PU_2_8_1.dzn","OPTIMAL_SOLUTION","1.9140852354466915","","0.572205","","408","2498","600","","0","mznc","1","","1.8359","1500","","","","269","","","","minimize","","","269","1273","",""
"Gecode HR","hoist-benchmark-for-minizinc","data/mznc2020/hoist-benchmark-for-minizinc/hoist-benchmark.mzn","data/mznc2020/hoist-benchmark-for-minizinc/PU_3_2_5.dzn","UNKNOWN","1200.1529930755496","40","0.305187","7295122","14590253","3512","","3996","0","mznc","0","19464943243","1199.67","3330","4144","1998","","","5356","0","","minimize","0.031116","0","","145","",""
"CBC","steelmillslab","data/mznc2019/steelmillslab/steelmillslab.mzn","data/mznc2019/steelmillslab/bench_20_15.dzn","UNKNOWN","1201.1402485966682","","2.90556","","","7347","","110","0","mznc","","","","","","","","","","","","minimize","","","","20313","","12651"
"CPLEX","code-generator","data/mznc2019/code-generator/unison.mzn","data/mznc2019/code-generator/mips_gobmk.helpers.dragon_weak.dzn","UNKNOWN","1201.4495453350246","","64.2238","","","407222","","746","0","mznc","","","","","","","","","","","","minimize","","","","294707","","104402"
"CPLEX","stable-goods","data/mznc2020/stable-goods/stable-goods-solution.mzn","data/mznc2020/stable-goods/s-d8.dzn","SATISFIED","1200.5487266033888","","2.87902","","9779","15292","","","0","mznc","1","","1196.9847","","","","","13096.0518114","","","5149","maximize","","","11660","11880","","4612"
"Gecode HR","whirlpool","data/mznc2020/whirlpool/whirlpool-x.mzn","data/mznc2020/whirlpool/d30.dzn","UNKNOWN","1200.243018783629","133","0.243857","2314029","4628107","7586","","3364","0","mznc","0","2833574278","1199.73","","8483","","","","7586","0","","satisfy","0.063249","0","","5119","","3364"
"CPLEX","amaze","data/mznc2019/amaze/amaze3.mzn","data/mznc2019/amaze/2012-07-13.dzn","SATISFIED","3.225620713084936","","0.28127","","358","1831","","","0","mznc","1","","2.8258","","","","","0","","","","satisfy","","","0","3057","","1873"
"CPLEX","rcpsp-wet-diverse","data/mznc2019/rcpsp-wet-diverse/rcpsp-wet-diverse.mzn","data/mznc2019/rcpsp-wet-diverse/j30_27_5-wet-diverse-3.dzn","OPTIMAL_SOLUTION","394.7796768732369","","8.51293","","619","51384","","","0","mznc","1","","384.4596","","","","","6632","","","","maximize","","","6632","26030","","5988"
"Gurobi HR","racp","data/mznc2020/racp/racp.mzn","data/mznc2020/racp/j60_9_9_1.25.dzn","SATISFIED","1200.9813564121723","","4.02862","","10202","27355","","","0","mznc","1","","1200.3399","1921","","","","250","","","7070","minimize","","","504","12152","","6723"
"Gurobi","amaze","data/mznc2019/amaze/amaze3.mzn","data/mznc2019/amaze/2012-03-19.dzn","SATISFIED","141.5322241783142","","0.237396","","5294","1300","","","0","mznc","1","","141.4739","","","","","0","","","21","satisfy","","","0","1817","","1292"
"Gecode","nside","data/mznc2019/nside/full.mzn","data/mznc2019/nside/MEDIUM_1000_100.dzn","SATISFIED","1201.2331186011434","","6.45888","","","163650","","24284","0","mznc","","","","","","92","","","","","","maximize","","","3841","139566","","24292"
"Gecode HR","groupsplitter","data/mznc2019/groupsplitter/group.mzn","data/mznc2019/groupsplitter/u15g5pref0.dzn","SATISFIED","1201.2034062631428","","2.49083","","","206","","","0","mznc","","","","","","","","","","","","maximize","","","254","304","",""
"CBC","lot-sizing","data/mznc2020/lot-sizing/lot_sizing_cp.mzn","data/mznc2020/lot-sizing/pigment15b.psp.dzn","UNKNOWN","1201.1397646777332","","0.33747","","","878","","195","0","mznc","","","","","","","","","","","","minimize","","","","3616","","866"
