"problem","model","data_file","configuration","status","time","run","solveTime","restarts","backjumps","flatBoolVars","flatIntConstraints","flatIntVars","flatBoolConstraints","trailMem","randomSeed","evaluatedHalfReifiedConstraints","intVars","nodes","peakMem","propagators","boolVariables","initTime","eliminatedImplications","peakDepth","nogoods","optTime","evaluatedReifiedConstraints","flatTime","paths","propagations","nSolutions","variables","failures","baseMem","method","objective"
"prize","data/prize/prize_imp.mzn","data/prize/25-5-5-1.dzn","Chuffed","OPTIMAL_SOLUTION","6.764338880777359","prize","6.588","155","5432","395","496","124","70","0.42","1615430083","98","151","68038","0.0","978","7146","0.013","","23","60454","5.464","348","0.050053","0","36598216","155","7299","60454","0.0","maximize","41"
"prize","data/prize/prize_imp.mzn","data/prize/45-5-9-1.dzn","Chuffed","SATISFIED","300.10892935469747","prize","","","","1165","1346","224","130","","","178","","","","","","","","","","","1078","0.074743","0","","315","","","","maximize","-6933"
"prize","data/prize/prize_orig.mzn","data/prize/21-3-7-4.dzn","Chuffed","OPTIMAL_SOLUTION","3.9464255310595036","prize","3.782","100","6593","349","435","125","98","0.42","1615429461","80","147","46471","0.0","759","6003","0.011","20","20","38544","3.547","291","0.049753","0","20544526","100","6152","38544","0.0","maximize","70"
"prize","data/prize/prize_orig.mzn","data/prize/12-3-4-9.dzn","Chuffed","OPTIMAL_SOLUTION","0.21597443148493767","prize","0.062","29","33","142","192","71","53","0.19","1615429155","44","84","730","0.0","273","2028","0.005","11","12","453","0.057","111","0.040567","0","146316","29","2114","453","0.0","maximize","43"
"prize","data/prize/prize_imp.mzn","data/prize/32-4-8-0.dzn","Chuffed","OPTIMAL_SOLUTION","242.3865953311324","prize","242.173","273","114251","619","748","159","91","0.63","1615429933","126","193","999944","0.0","1587","12280","0.02","","30","880741","226.044","558","0.05662","0","781545973","273","12475","880741","0.0","maximize","115"
"prize","data/prize/prize_orig.mzn","data/prize/32-4-8-8.dzn","Chuffed","OPTIMAL_SOLUTION","230.55913715809584","prize","230.338","292","94214","712","842","191","153","0.63","1615429161","124","224","877617","0.0","1683","14007","0.026","31","31","777825","198.608","621","0.065783","0","775895280","292","14233","777825","0.0","maximize","86"
"prize","data/prize/prize_imp.mzn","data/prize/30-5-6-8.dzn","Chuffed","OPTIMAL_SOLUTION","66.09778362885118","prize","65.893","223","22223","550","671","149","85","0.63","1615429603","118","181","324563","0.0","1398","9841","0.018","","28","298900","44.534","493","0.055418","0","260787181","223","10024","298900","0.0","maximize","62"
"prize","data/prize/prize_orig.mzn","data/prize/15-3-5-3.dzn","Chuffed","OPTIMAL_SOLUTION","0.3924138657748699","prize","0.25","70","137","202","264","89","68","0.28","1615429455","56","105","2985","0.0","408","3193","0.006","14","15","2139","0.244","162","0.043447","0","801499","70","3300","2139","0.0","maximize","27"
"prize","data/prize/prize_imp.mzn","data/prize/28-4-7-6.dzn","Chuffed","OPTIMAL_SOLUTION","34.6088602244854","prize","34.421","214","25599","485","598","139","79","0.63","1615430135","110","169","207410","0.0","1221","8754","0.014","","26","178521","32.089","432","0.049714","0","135629791","214","8925","178521","0.0","maximize","54"
"prize","data/prize/prize_orig.mzn","data/prize/20-4-5-4.dzn","Chuffed","OPTIMAL_SOLUTION","1.4348624497652054","prize","1.222","84","925","322","404","119","93","0.42","1615429153","76","140","15435","0.0","693","5294","0.018","19","20","13511","1.16","267","0.04941","0","7661417","84","5436","13511","0.0","maximize","39"
