"problem","model","data_file","configuration","status","time","run","peakMem","baseMem","nodes","failures","flatTime","randomSeed","solveTime","objective","backjumps","method","variables","boolVariables","propagators","flatBoolConstraints","trailMem","optTime","flatIntVars","peakDepth","nogoods","paths","propagations","flatBoolVars","evaluatedReifiedConstraints","nSolutions","restarts","initTime","flatIntConstraints","intVars","evaluatedHalfReifiedConstraints"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-15-120-0.dzn","Chuffed","OPTIMAL_SOLUTION","0.2384050264954567","qcp_max","0.0","0.0","44","12","0.106883","1615430480","0.014","30","0","maximize","4364","4191","32","","0.02","0.013","157","31","12","0","1522","30","","1","1","0.006","61","171","60"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-15-120-2.dzn","Chuffed","OPTIMAL_SOLUTION","0.9956451915204525","qcp_max","0.0","0.0","6951","5924","0.232568","1615430239","0.558","30","1006","maximize","7450","7279","9452","30","0.08","0.553","155","28","5924","0","3051169","3180","3180","1","1","0.047","3181","169",""
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-25-264-14.dzn","Chuffed","UNKNOWN","300.4440344721079","qcp_max","","","","","0.604326","","","","","maximize","","","","50","","","330","","","0","","15050","15050","0","","","15051","",""
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-20-187-13.dzn","Chuffed","OPTIMAL_SOLUTION","0.8791433796286583","qcp_max","0.0","0.0","2717","2175","0.110564","1615430418","0.651","40","517","maximize","8716","8457","42","","0.02","0.65","238","37","2175","0","335328","40","","1","1","0.011","81","257","80"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-10-67-6.dzn","Chuffed","OPTIMAL_SOLUTION","0.25715385377407074","qcp_max","0.0","0.0","100","58","0.123084","1615430141","0.01","20","15","maximize","2702","2599","2702","20","0.02","0.01","93","26","58","0","19248","920","920","1","1","0.013","921","101",""
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-25-264-6.dzn","Chuffed","OPTIMAL_SOLUTION","128.0035856217146","qcp_max","0.0","0.0","140148","127919","0.117001","1615430360","127.729","50","12183","maximize","14904","14551","52","","0.04","127.629","327","52","127919","0","28402083","50","","1","1","0.018","101","351","100"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-15-120-7.dzn","Chuffed","OPTIMAL_SOLUTION","0.25336604192852974","qcp_max","0.0","0.0","314","208","0.106915","1615430504","0.039","30","78","maximize","4428","4253","32","","0.02","0.039","159","31","208","0","18635","30","","1","1","0.006","61","173","60"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-15-120-13.dzn","Chuffed","OPTIMAL_SOLUTION","0.44256164506077766","qcp_max","0.0","0.0","679","383","0.201557","1615430232","0.04","30","272","maximize","7514","7341","9452","30","0.08","0.039","157","29","383","0","293684","3180","3180","1","1","0.046","3181","171",""
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-15-120-11.dzn","Chuffed","OPTIMAL_SOLUTION","0.7492208518087864","qcp_max","0.0","0.0","4560","3825","0.202008","1615430233","0.33","30","707","maximize","7578","7403","9452","30","0.08","0.327","159","32","3825","0","2188753","3180","3180","1","1","0.047","3181","173",""
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-20-187-5.dzn","Chuffed","OPTIMAL_SOLUTION","37.25438394770026","qcp_max","0.0","0.0","131850","116046","0.109875","1615430454","37.011","40","15765","maximize","8674","8416","42","","0.02","36.975","237","52","116046","0","11262961","40","","1","1","0.011","81","256","80"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-20-187-11.dzn","Chuffed","UNKNOWN","300.18127742782235","qcp_max","","","","","0.102825","","","","","maximize","","","","","","","235","","","0","","40","","0","","","81","","80"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-10-67-14.dzn","Chuffed","OPTIMAL_SOLUTION","44.47564821690321","qcp_max","0.0","0.0","84179","72706","0.130407","1615430300","44.193","18","11449","maximize","2640","2539","2702","20","0.02","44.135","90","28","72706","0","14478729","920","920","1","1","0.014","921","99",""
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-25-264-1.dzn","Chuffed","UNKNOWN","300.4515795148909","qcp_max","","","","","0.604217","","","","","maximize","","","","50","","","330","","","0","","15050","15050","0","","","15051","",""
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-10-67-7.dzn","Chuffed","OPTIMAL_SOLUTION","0.2728770412504673","qcp_max","0.0","0.0","39","13","0.133691","1615430138","0.008","20","3","maximize","2680","2578","2702","20","0.02","0.008","92","23","13","0","7470","920","920","1","1","0.014","921","100",""
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-10-67-7.dzn","Chuffed","OPTIMAL_SOLUTION","0.2192622385919094","qcp_max","0.0","0.0","31","8","0.106412","1615430347","0.008","20","0","maximize","1780","1678","22","","0.01","0.008","92","22","8","0","659","20","","1","1","0.003","41","100","40"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-25-264-13.dzn","Chuffed","UNKNOWN","300.4764087833464","qcp_max","","","","","0.617441","","","","","maximize","","","","50","","","327","","","0","","15050","15050","0","","","15051","",""
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-15-120-1.dzn","Chuffed","OPTIMAL_SOLUTION","0.2805384397506714","qcp_max","0.0","0.0","556","337","0.110477","1615430479","0.067","30","197","maximize","4364","4191","32","","0.02","0.067","157","27","337","0","38758","30","","1","1","0.006","61","171","60"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-10-67-9.dzn","Chuffed","OPTIMAL_SOLUTION","0.278073076158762","qcp_max","0.0","0.0","46","19","0.129224","1615430285","0.009","20","2","maximize","2640","2539","2702","20","0.02","0.009","90","24","19","0","7710","920","920","1","1","0.014","921","99",""
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-20-187-14.dzn","Chuffed","OPTIMAL_SOLUTION","0.38209080696105957","qcp_max","0.0","0.0","564","361","0.110208","1615430417","0.128","40","174","maximize","8758","8498","42","","0.02","0.128","239","35","361","0","60169","40","","1","1","0.011","81","258","80"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-10-67-4.dzn","Chuffed","OPTIMAL_SOLUTION","0.27323057502508163","qcp_max","0.0","0.0","29","4","0.127891","1615430141","0.009","20","2","maximize","2706","2602","2702","20","0.02","0.009","93","22","4","0","4913","920","920","1","1","0.013","921","102",""
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-15-120-12.dzn","Chuffed","UNKNOWN","300.24661611020565","qcp_max","","","","","0.200303","","","","","maximize","","","","30","","","157","","","0","","3180","3180","0","","","3181","",""
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-25-264-9.dzn","Chuffed","UNKNOWN","300.18147487565875","qcp_max","","","","","0.113124","","","","","maximize","","","","","","","328","","","0","","50","","0","","","101","","100"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-10-67-4.dzn","Chuffed","OPTIMAL_SOLUTION","0.22038596868515015","qcp_max","0.0","0.0","25","2","0.105728","1615430359","0.008","20","0","maximize","1806","1702","22","","0.01","0.008","93","22","2","0","532","20","","1","1","0.003","41","102","40"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-20-187-7.dzn","Chuffed","OPTIMAL_SOLUTION","2.784019213169813","qcp_max","0.0","0.0","12879","10098","0.109391","1615430472","2.557","40","2748","maximize","8800","8539","42","","0.02","2.552","240","39","10098","0","1276413","40","","1","1","0.011","81","259","80"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-15-120-10.dzn","Chuffed","OPTIMAL_SOLUTION","0.4420217052102089","qcp_max","0.0","0.0","1240","431","0.200897","1615430235","0.037","30","776","maximize","7578","7403","9452","30","0.08","0.037","159","38","431","0","249110","3180","3180","1","1","0.046","3181","173",""
